Number of Reads,286821
Reads With Valid Barcodes,1
Sequencing Saturation,0.480132
Q30 Bases in RNA read,0.838782
Reads Mapped to Genome: Unique+Multiple,0.0197231
Reads Mapped to Genome: Unique,0.0185516
Reads Mapped to GeneFull: Unique+Multipe GeneFull,0.016261
Reads Mapped to GeneFull: Unique GeneFull,0.0115821
Estimated Number of Cells,1
Unique Reads in Cells Mapped to GeneFull,3322
Fraction of Unique Reads in Cells,1
Mean Reads per Cell,3322
Median Reads per Cell,3322
UMIs in Cells,1727
Mean UMI per Cell,1727
Median UMI per Cell,1727
Mean GeneFull per Cell,815
Median GeneFull per Cell,815
Total GeneFull Detected,815
