chr1	90785941	90786637	2	2	1	14	0	39
chr1	90786701	90787922	2	2	1	34	0	63
chr1	90787986	90788214	2	2	1	34	0	63
chr1	90788278	90789030	2	2	1	23	0	11
chr1	105356906	105361588	1	1	0	1	0	56
chr1	120113534	120116385	2	2	1	61	0	63
chr1	120116449	120119894	2	2	1	43	0	63
chr1	120120013	120120120	2	2	1	3	0	31
chr1	171225122	171225283	1	1	1	2	0	32
chr1	171225367	171225665	1	1	1	43	0	75
chr1	171225799	171226142	1	1	1	46	0	64
chr1	178321860	178321941	1	1	1	1	0	63
chr1	178322006	178322480	1	1	1	2	0	21
chr2	4937811	4938306	1	1	1	1	0	35
chr2	34874592	34882291	1	1	1	1	0	74
chr2	121449442	121449974	1	1	1	1	0	65
chr2	121450084	121450720	1	1	1	1	0	46
chr2	147013197	147024507	1	1	1	1	0	63
chr3	94702603	94703486	1	1	1	1	0	25
chr3	94703580	94703721	1	1	1	1	0	32
chr3	144712729	144719981	2	2	1	1	0	33
chr4	15052718	15065323	2	2	1	46	0	29
chr4	15065350	15111193	2	2	1	49	0	26
chr4	15111303	15140224	2	2	1	41	0	27
chr4	15140250	15149711	2	4	0	33	0	25
chr5	90472685	90474566	1	1	1	45	2	43
chr5	90474700	90475268	1	1	1	126	2	69
chr5	90475337	90476459	1	1	1	121	0	72
chr5	103963864	103965774	2	2	1	1	0	27
chr5	103965892	103966970	2	2	1	1	0	7
chr6	71199994	71201607	1	1	1	1	0	35
chr6	122083501	122084316	1	1	1	1	0	70
chr6	122084420	122085467	1	1	1	1	0	31
chr6	122192705	122207896	1	1	0	0	1	65
chr6	122208015	122208159	1	1	1	0	1	46
chr6	122233878	122234455	1	1	1	1	0	13
chr6	128430881	128432421	2	2	1	1	0	42
chr7	19678313	19678609	2	2	1	62	0	75
chr7	19678743	19681304	2	2	1	61	0	73
chr7	19689637	19691887	2	2	1	13	13	34
chr7	30942582	30942664	2	2	1	5	0	14
chr7	99839884	99844699	2	2	1	2	0	66
chr8	22218289	22218398	1	1	1	2	0	25
chr8	70782142	70783464	2	2	1	2	0	8
chr9	44408870	44409953	1	1	1	1	0	35
chr9	46233344	46234416	2	2	1	78	0	73
chr9	46234541	46234658	2	2	1	49	0	67
chr9	46234727	46235258	2	2	1	13	0	41
chr9	72110835	72111575	2	2	1	7	0	13
chr10	23785274	23785575	2	2	1	11	0	48
chr10	23785678	23785901	2	2	1	12	0	63
chr11	78501925	78502137	1	1	1	42	0	73
chr11	83747124	83749232	1	1	1	15	0	61
chr12	69157822	69158660	2	2	1	41	1	71
chr12	69158761	69158996	2	2	1	40	1	52
chr12	103853867	103854667	2	2	1	1	0	40
chr14	7984166	7987303	2	2	1	1	0	44
chr14	31067965	31074770	1	1	1	2	0	37
chr14	36429598	36437137	1	1	0	0	1	15
chr14	47676826	47683382	1	1	1	1	0	38
chr14	47683490	47684720	1	1	1	1	0	34
chr14	76099192	76102445	2	2	1	23	0	73
chr14	122534460	122557714	1	1	1	6	0	53
chr15	81640142	81640439	1	1	1	1	0	20
chr15	84210631	84211036	1	1	1	42	0	74
chr15	84211179	84214125	1	1	1	49	0	66
chr16	3919319	3919480	1	1	0	1	0	36
chr16	3919565	3923839	1	1	1	1	0	33
chr16	4616634	4616812	2	2	1	27	0	67
chr16	4616879	4617125	2	2	1	25	0	68
chr16	4617263	4617918	2	2	1	25	1	64
chr16	90222877	90224355	1	1	1	51	7	59
chr16	90224426	90225144	1	1	1	68	7	71
chr16	90225263	90226149	1	1	1	59	0	72
chr16	91647985	91651629	1	1	1	1	0	52
chr17	15061183	15063601	1	1	1	1	0	46
chr17	31648317	31648666	2	2	1	1	0	33
chr17	34182352	34183088	2	2	1	1	0	75
chr17	34856583	34856879	2	2	1	74	0	50
chr17	34856930	34857003	2	2	1	77	0	57
chr17	34857137	34857218	2	2	1	2	0	14
chr17	35161180	35161333	2	2	1	1	0	64
chr17	46725972	46726060	2	2	1	118	0	70
chr17	46726183	46726268	2	2	1	51	0	49
chr17	56564635	56565218	2	2	1	1	0	26
chr17	56565262	56565944	2	2	1	1	0	43
chr17	56721128	56721318	1	1	1	15	0	52
chr17	56721442	56721984	1	1	1	27	0	63
chr17	57204155	57204250	2	2	1	2	0	18
chr18	20665508	20666455	1	1	1	141	0	75
chr18	20666587	20669978	1	1	1	150	0	74
chr18	20670115	20673630	1	1	1	255	0	75
chrX	37187742	37189873	2	2	1	32	0	72
chrX	37189964	37190988	2	2	1	40	0	75
chrX	167207536	167207936	2	2	1	1	0	60
chrX	167208052	167209105	2	2	1	1	0	35
